"Question","Answer"
"How does scared straight relate to Today was charming in the way any small town is that embraces quaint clusters of people chatting over cups of coffee under an outstretched awning.  I was there to see a band... but they did not show.  It turns out little boy wonders' mommy needed him.  How adorable.  There will be no show tonight.   Possibly at the neurolux but I've tired of that circle of 20 something post grunge neo-indie pot smoking beard growing bunch.  I've only frequented the place long enough to catch its vibe.  Same ole' Same ole'.  I'll take you home long enough to gratify my immediate urges, than discard you in every way possible....leaving you to live out the rest of your local existence as I ordained.  No Thanks...I'll sit idly by watching this recycled scenario play itself to the brink of death.  I'll support the local music but I wont support your ass so get off my couch!...
So, yes it is truely admirable to see one of this towns few ""gentlemen"" publically admitting he has, and actually respects his mother.  I'll think twice now...  I've already thought it out more than that...  Maybe I was wrong...the seeminly jockist attitude was more a reflection of the many beers consumed that night...  I know I was guilty of being intoxicated.  Now there are two reasons on the pro column and only one superficial reason on the ""con"".  So overly superficial in fact I cant even type what it is...  So, yea...?","Sorry, no answer found for scared straight."
"What are some interesting facts about scared straight?","Sorry, no answer found for scared straight."
"Who are the experts on scared straight?","Sorry, no answer found for scared straight."
"What are the benefits of learning about scared straight?","Sorry, no answer found for scared straight."
"What are the challenges of learning about scared straight?","Sorry, no answer found for scared straight."
"What is the history of scared straight?","Sorry, no answer found for scared straight."
"What are the future trends of scared straight?","Sorry, no answer found for scared straight."
"What is Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"Can you explain Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"What are the key points of Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"How does Geez Us Its Blah relate to So, I should be soo tired, but I'm not....oh well...maybe I am and I'm repressing it like a childhood trauma. I wanted to go today but I couldn't because ""HE"" was there.  so was l'autre homme....Damn it!!! He said I was ""weird"", actually he said, ""hehehehe you're soooooooooooo weird.""... And I said, ""S******, you're brother is soooooooooo rude""....to which he said, ""no I just have to tell a girl when her lipstick is on her teeth""...Blasphemy!!  ""so I called him The other name...the one he hates.....some use it some ditch  it.  All this because I said, ""dont call me Jen"". 
What the hell is wrong with me?!!! I have a crush on my friends brother!!!!!!!!!  augh!!!!!!  KILL ME NOW!!!!!  He's so jazzily great!!!  and worse yet, is its sooo obvious...I dont hide these things well.  I should mention he was all smiley through this whole thing.  I get so uncomfortable around him, when its just me and him.  He knows...oh yea... he knows...He's sexed up this entire town, and then some...  A sultry few in seattle, nevada, California, Oregon, Japan, Germany maybe....  He's a slut!!!! I know this, he knows I know this, she knows he knows I know this, 
yet noone says anything.  This is so reverse of how it should be.  I'm used to my friends having crushes on my brothers and THAT I could deal with....  but on the flipside, I know how much it sucks to have one of your friends into yo brotha....it completely blows!  So, of course aside from the obvious avoidance of STD's, and being added to the list, I cant pursue this....Damnit!!!  Plus, we've been friends for years and I'm not one of THOSE girls.  She's more valuable to me than some stupid cute little sweet charmingly odd, say whats on your mind, having your own odd style, drinks black coffee, calls me on it, ....boy.

So, I'm back to his predessesor.... Oi!?","Sorry, no answer found for Geez Us Its Blah."
"What are some interesting facts about Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"Who are the experts on Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"What are the benefits of learning about Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"What are the challenges of learning about Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"What is the history of Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"What are the future trends of Geez Us Its Blah?","Sorry, no answer found for Geez Us Its Blah."
"What is genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"Can you explain genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"What are the key points of genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"How does genesis vs. villachaise relate to Stephanie oh Stephanie why do you get silent so...?
Jeremy and Stephanie, you dont need to be invited oh...

who taught you how to do this...?
but....da.da...I, I I.."".
WHO taught you how to do this!?
""I learned it from watching you alright!!! I learned it from watching you...

Parents who use drugs have children who sit at home bored out of their fucking minds wishing, praying.....hoping...they could just sleep...just for one precious hour.....thats not asking much....

But NO!!!!!  

oh......Connor oh Connor.....you fill the time sooooooooooooooooooooooooooooooo well.............
la la la la la la la la la la la la la la la la la la la la la

Its too damn hot here... augh..................................................................................................................................................
I dont want El Freako to call me, but I'm sick of being online..., but if I sign off... the blasted phone will ring...  

why me??","Sorry, no answer found for genesis vs. villachaise."
"What are some interesting facts about genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"Who are the experts on genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"What are the benefits of learning about genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"What are the challenges of learning about genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"What is the history of genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"What are the future trends of genesis vs. villachaise?","Sorry, no answer found for genesis vs. villachaise."
"What is Interstate 84?","Sorry, no answer found for Interstate 84."
"Can you explain Interstate 84?","Sorry, no answer found for Interstate 84."
"What are the key points of Interstate 84?","Sorry, no answer found for Interstate 84."
"How does Interstate 84 relate to Jesus, God and Buddah I love you all...
Do you think theirs anything great on NBC right now?  

Those russian sandwiches ... funny how they kept us through the night they dont even know you they just assume your a dick for the sake of arguement.
Do you wanna hear a confession?  yea?

I was driving home in the rain and wind today and it dawned on me that I have absolutely nothing to contribute here.  NOthing.  I had it solitified today by some woman from a rival temp agency who stopped by to chat with me ....(the supervisor)....Paaaaa leeease!! gazed down at my bare feet.  We had been hanging out in the cubbies for the reems of paper... listening to the great sounds of Idaho's Rock Station....  ""photograph...I dont need your....photograph...I dont want your....photograph..all I got is a photograph..I wanna touch you!!!""  Joe Elliot is the Man!!!!!!  I'm was a sick little Def Leppard loving girl...  My mullet crush.  
So, my day ended without fanfare... I need to go to my parents house to get my bike so suzy q and I can ride to the bar with our matching baskets and vintage gearless gradieur.  
fuck!!!! my cat just jumped on my shoulder from the couch and clawed the crap out of me...  Thats my cue to get out of here.....  she's soo cute though.....?","Sorry, no answer found for Interstate 84."
"What are some interesting facts about Interstate 84?","Sorry, no answer found for Interstate 84."
"Who are the experts on Interstate 84?","Sorry, no answer found for Interstate 84."
"What are the benefits of learning about Interstate 84?","Sorry, no answer found for Interstate 84."
"What are the challenges of learning about Interstate 84?","Sorry, no answer found for Interstate 84."
"What is the history of Interstate 84?","Sorry, no answer found for Interstate 84."
"What are the future trends of Interstate 84?","Sorry, no answer found for Interstate 84."
"What is ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"Can you explain ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"What are the key points of ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"How does ok I think his sister is in the band and his ex wife cuz listen to this... relate to Just wait...
Though he and older sister Meg have been zealously scrutinized as this years next big thing, white recalls the man who inspired his musical career...""his dad""....
""Well, he wanted me to be a drummer,"" he laughs.
""Meg, ended up being the drummer in the family""
So, see that proves his sister is in the band....hehhehhehe
""CLearly it states that his sister is in the band""!!
""oh wait...""
But then it says,
""meg isnt' his sister..she's his ex wife...but I dont believe that""
He says the band ins't going to last,
I say ""what up cuz""...and I'd like to give a shout out to John..missing in action...Linford that is.
(she's gives me the evil eye)""Jen-E's my girl!""
You should hear the white stripes first album because its so simple and childish its more like a mockery...mockry, mock...ry...mock..mok mockeer y

This is not an exit...
Comin at you from Xerox...
Ice Is Nice
Did you fart?
Mmmmm....the proclaimers have a new album...
""who""..
the proclaimers.
Oh my gosh!! have you is there have you is there I mean I MEAN Is there, have you heard of a band called like 1979?
""no""
Oh well.....
Oh well thats it...?
(head nod)
is that our phone?
no
Hey you were in Slovak Girl?
Yes.......as a matter of fact
huh huh he he
you jealous?
NO!!!  its not a YUGE deal
but it really is..
there gonna be a YUGE deal some day...there gonna get a YUGE deal too!!!
in your dreams psyche!!!!!!!!
""what if my name was cleopatra, would you still be my friend""
""no""
gasp!! fine.. all I need is my daughter, cleopatra that is
Ring ring
Can you get that?
No.....""copy center this is suzanne""

What are the ass pony's all about because thats a dumb name?
and swell is a little perverted unless I'm just being perverted which is highly likely..
Quit copying me!!!!
STop!!!!
You act like my friend Angela!!
no I dont
nods head
What if I was really REbecca Gates?
hehehhehhehehhehe
Hahahahaha
what if my name was moses?
you really think anyone is really gonna read this.
did you tell them I'm making an appearance....
Hey, if we had a show here when they come..'
for real yo.
yea
If you were REbecca Gates...
oh oh oh what if I was secretly she ra the reinvented...
NO!! like superman worked in an office..
you're going to make me look like an idiot...
space heaters are bad for the enviornment.....they use a lot of energy...and they make your bills go up like $225.57 a month...
hehehhehehehe no per month
I dont like this I need to get better thoughts...
I need more intelligent thoughts
Jenny is giddy
actually my friend Grant, the one my really good firend that I had the secret crush on, he came over to my house and i have a typewriter sitting out like and old shcool one. and he wouldn't talk he would only type.
why?
cuz it was funny...but the A was missing
so most of his words were incoherent...it was really funny
woooo that was a good one
ok I'm not going to talk anymore...
buuuuuuuuuuuurp...lets go to the prom
did you go to your prom?
no
why?
because my boyfriend dumped my ass.
where does he live...
actually he lives in the gallopagos islands..
he's researching sea turtles..

get big..?
penile enlarement...medical vacuum pump system
hehehe
oh my gosh..FDA approved
no but listen to this FRee photo broshures..........and surgical information
HEHEHHEHEHHE
DANG!!!!!!!!!

do you like pussy galore....
hehehe
lets go to kung fu nation.?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"What are some interesting facts about ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"Who are the experts on ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"What are the benefits of learning about ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"What are the challenges of learning about ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"What is the history of ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"What are the future trends of ok I think his sister is in the band and his ex wife cuz listen to this...?","Sorry, no answer found for ok I think his sister is in the band and his ex wife cuz listen to this...."
"What is Ebay hates me?","Sorry, no answer found for Ebay hates me."
"Can you explain Ebay hates me?","Sorry, no answer found for Ebay hates me."
"What are the key points of Ebay hates me?","Sorry, no answer found for Ebay hates me."
"How does Ebay hates me relate to Make the frustration stop!!!  Ebay oh Ebay, why do you hate me so?  

I won 3 items and was not notified so my beautiful negative rating is getting even further from 0.  

Had a party on saturday... which was great.  Everyone showed that I expected and some that I didn't.  Gonna miss Jessikah but she's gone to a better place... Boston.  She better like the mix tape.  I spent time on that right down to picking here college theme song. (Where the Geeks are-Blast Off Country Style).  We went to some other parties this weekend and got see some local artists in what is best described as performance art....titled ""Costume Jewelry"".  Restraining Orders were filed, boys were attacked, philosophies were shared.  All in all, I think the weekend was eh... entertaining.  

Dont think I'm gonna make this next roadtrip to seattle but I might make it to portland in oct or maybe utah....I dunno.... shows shows shows...

I'm not in a particularly pensive or revealing mood.  My thoughts are blase' currently and I apologize for the completely lackluster content of this meandering shite.?","Sorry, no answer found for Ebay hates me."
"What are some interesting facts about Ebay hates me?","Sorry, no answer found for Ebay hates me."
"Who are the experts on Ebay hates me?","Sorry, no answer found for Ebay hates me."
"What are the benefits of learning about Ebay hates me?","Sorry, no answer found for Ebay hates me."
"What are the challenges of learning about Ebay hates me?","Sorry, no answer found for Ebay hates me."
"What is the history of Ebay hates me?","Sorry, no answer found for Ebay hates me."
"What are the future trends of Ebay hates me?","Sorry, no answer found for Ebay hates me."
"What is Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"Can you explain Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"What are the key points of Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"How does Suzanne is being a potty girl relate to Cough!!! Cough!!

Oh oh I got one! Jammin!...seriously I need a new word or phrase... oh  I got it...Suzanne.
dont give me your evil eye.  
Buuuuurp......(she walks away!) over to the crack and peel orange glow paper.

So, yesterday disturbs me.  I've yet to hear from my beloved....sigh~
On the slightly positive...I'm gonna get free stuff from Saddle Creek records for being their new Boise whore...yay!!!  

""hey whose this""....

""I dunno""...
""is this Cap n' Jazz?""
No!!!
How dare you ask me if thats Crap n' Jazz...blech!!!
As if I would purchase or play that ...

I feel like hearing My Bloody Valentine..... but I have to settle for Trembing Blue Stars....which is really settling...

""if it weren't for your lack of direction I wouldn't be misguided in the first place..""

Shut up, you're making me feel bad...I'm sensitive...I'm gonna cry!! 

then she laughed at me.................


What cd's do you have of mine....
Pedro the Lion 2
The Jealous sound
Sounds of Butt vol 5
Red Stars Theory


you're being too hauty.....sheesh...calm down..... take a deep breath......

I haven't threatened your life.....
with a box cutter....
harsh!
I'm not good at playing fool stop!!
If you're gonna bring it, bring it!!!

How many times have I told you...leave me alone!!!
You're getting all weird..

Remind me to give you my keys.....
okay
Have fun in the Bahamas

Why are you always all over my boyfriend?
What?
You heard me...
I dont know what the hell you're talking about...?!
Whatever!!...
seriously....I have no idea what you're talking about
I saw you....
You saw nothing...
I saw you....   twirling your hair..
that doesn't even make sense
when you were talking to him...
shut up..
fine
fine
bitch
what did you say...?
....
..
..

You cant steal my boyfriend...!
Well, your little man started talking to me first
besides I thought you were breaking up...you should ..he sucks
If you so much as lay one finger....
shut up!!!
you're stupid...
suck it...
I will 
gasp!!!?","Sorry, no answer found for Suzanne is being a potty girl."
"What are some interesting facts about Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"Who are the experts on Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"What are the benefits of learning about Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"What are the challenges of learning about Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"What is the history of Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"What are the future trends of Suzanne is being a potty girl?","Sorry, no answer found for Suzanne is being a potty girl."
"What is Sick of watching death?","Sorry, no answer found for Sick of watching death."
"Can you explain Sick of watching death?","Sorry, no answer found for Sick of watching death."
"What are the key points of Sick of watching death?","Sorry, no answer found for Sick of watching death."
"How does Sick of watching death relate to I'm a relatively compassionate person...  Scratch that, I get emotionally involved with really well written books, heart felt lyrics, and even the occasional PR job.  So, I cant take any more coverage of the ""attack on america"".  I'm sooo fucking sick of hearing about this shit everywhere I turn.  Partially because I'm a very verbal person and my mind is active....  oh yea... so I like to voice my thoughts...

But I'm in Idaho, and I have to keep my mouth shut all the time.  I'm sooo stifled.  Its like being at that friends party that you never really had much in common with but you grew up next door and just to be kosher you go...... keep up with the casual bullshit conversations, not too contrary...smiles all around...everything is great....absolutely excellent...then you leave and say whats really on your mind to your similar in life similar in goals, ""friends"".  Well, I'm at the party, the doors are locked and they're all talking out of their asses.  I've been at the party for 7 months...I WANT TO LEAVE!!!! someone please!!!!!! open the door!!!!!!!!!!!!!!!!!!

p.s. why cant my record player automatically replay the 7in""s??","Sorry, no answer found for Sick of watching death."
"What are some interesting facts about Sick of watching death?","Sorry, no answer found for Sick of watching death."
"Who are the experts on Sick of watching death?","Sorry, no answer found for Sick of watching death."
"What are the benefits of learning about Sick of watching death?","Sorry, no answer found for Sick of watching death."
"What are the challenges of learning about Sick of watching death?","Sorry, no answer found for Sick of watching death."
"What is the history of Sick of watching death?","Sorry, no answer found for Sick of watching death."
"What are the future trends of Sick of watching death?","Sorry, no answer found for Sick of watching death."
"What is make the desire stop!!!!!!!!!!!!`?","Sorry, no answer found for make the desire stop!!!!!!!!!!!!`."
"Can you explain make the desire stop!!!!!!!!!!!!`?","Sorry, no answer found for make the desire stop!!!!!!!!!!!!`."
"What are the key points of make the desire stop!!!!!!!!!!!!`?","Sorry, no answer found for make the desire stop!!!!!!!!!!!!`."
